Real Close,Datetime,Company,Predicted Close (Linear Regression),Predicted Close (Decision Tree),Predicted Close (Random Forest),Predicted Close (Gradient Boosting)
187.63,2024-05-14 15:50:00,AAPL,187.73057226712203,187.53,187.47119000000004,187.4156532718236
187.39,2024-05-14 15:55:00,AAPL,187.4701165822213,187.43,187.44985000000008,187.429749651843
187.425,2024-05-14 16:00:00,AAPL,187.546843185553,187.43,187.4430600000001,187.33571054015962
187.43,2024-05-14 16:05:00,AAPL,187.40689879895493,187.025,187.35546000000005,187.10651149314165
187.42,2024-05-14 16:10:00,AAPL,188.53068263370685,186.14,186.76886999999996,186.8942515403973
187.43,2024-05-14 16:15:00,AAPL,188.42985347784503,186.14,186.78443999999996,186.88834637036808
187.47,2024-05-14 16:20:00,AAPL,188.54115460772138,187.025,187.23821000000004,186.93520622574528
187.5,2024-05-14 16:25:00,AAPL,187.96851212843285,187.025,187.31607000000008,187.1705308170724
187.53,2024-05-14 16:30:00,AAPL,188.03353478323254,187.53,187.40119000000007,187.35484873249402
187.42,2024-05-14 16:35:00,AAPL,187.915617099581,187.53,187.42217000000008,187.39218354489728
187.43,2024-05-14 16:40:00,AAPL,187.66390754047873,187.53,187.44850000000008,187.39047354489728
187.44,2024-05-14 16:45:00,AAPL,187.5179380801013,187.53,187.46836000000008,187.3990240120904
187.515,2024-05-14 16:50:00,AAPL,187.54373331887408,186.19,186.82310999999999,186.9462147312576
187.55,2024-05-14 16:55:00,AAPL,187.66166088079314,186.06,186.82287999999997,186.9521262137771
187.54,2024-05-14 17:00:00,AAPL,187.73440076778184,186.14,186.82395999999994,186.9436906519034
187.54,2024-05-14 17:05:00,AAPL,187.5974764932224,186.14,186.79599999999994,186.88663471444394
187.56,2024-05-14 17:10:00,AAPL,187.7323157780114,186.972,187.24900999999997,187.16571706305785
187.465,2024-05-14 17:15:00,AAPL,187.7565828114568,187.53,187.36360999999997,187.25738828923755
187.451,2024-05-14 17:20:00,AAPL,187.7053835828433,187.53,187.37193,187.28259517784858
187.495,2024-05-14 17:25:00,AAPL,187.53900315561867,187.53,187.40976000000006,187.30688884408673
187.44,2024-05-14 17:30:00,AAPL,187.68455930316227,187.53,187.41607000000005,187.32124669857095
187.46,2024-05-14 17:35:00,AAPL,187.55231651052617,187.53,187.43958000000003,187.4190486244217
187.52,2024-05-14 17:40:00,AAPL,187.50053936484218,187.53,187.44119000000003,187.4190486244217
187.5,2024-05-14 17:45:00,AAPL,187.5485225203534,187.53,187.44113000000002,187.4108820882302
187.47,2024-05-14 17:50:00,AAPL,187.5240486065134,187.53,187.43598000000003,187.40346473915207
187.55,2024-05-14 17:55:00,AAPL,187.63643241522539,187.53,187.4391,187.40378576681923
187.636,2024-05-14 18:00:00,AAPL,187.69900953698664,187.53,187.44857000000005,187.4079837922078
187.6,2024-05-14 18:05:00,AAPL,187.74653591468402,187.53,187.44820000000004,187.41404961086687
187.55,2024-05-14 18:10:00,AAPL,187.76643732010604,187.53,187.45782,187.41885442443748
187.665,2024-05-14 18:15:00,AAPL,187.6516451563373,187.53,187.45682000000005,187.41344225005335
187.7,2024-05-14 18:20:00,AAPL,187.7154848918747,187.53,187.45057000000008,187.41246814924398
187.705,2024-05-14 18:25:00,AAPL,187.72878766045156,187.53,187.44997000000006,187.40863743648273
187.65,2024-05-14 18:30:00,AAPL,187.70666561126242,187.53,187.46362000000005,187.42950650042005
187.65,2024-05-14 18:35:00,AAPL,187.6898873790403,187.53,187.46366000000006,187.4121819847076
187.49,2024-05-14 18:40:00,AAPL,187.55694966561518,187.53,187.46524000000005,187.40929847970816
187.575,2024-05-14 18:45:00,AAPL,187.53539123527503,187.53,187.46961000000007,187.40929847970816
187.555,2024-05-14 18:50:00,AAPL,187.52217440429138,187.53,187.48717,187.4131291924694
187.56,2024-05-14 18:55:00,AAPL,187.5551852436946,187.53,187.47788000000003,187.4121819847076
187.66,2024-05-14 19:00:00,AAPL,187.65046715082124,187.53,187.47966000000005,187.40449366613754
187.66,2024-05-14 19:05:00,AAPL,187.66002958112668,187.43,187.48028000000002,187.40685738979965
187.54,2024-05-14 19:10:00,AAPL,187.6064573335004,187.53,187.47750000000005,187.40929847970816
187.605,2024-05-14 19:15:00,AAPL,187.57685085888983,187.53,187.47872000000004,187.40449366613754
187.52,2024-05-14 19:20:00,AAPL,187.50412808998834,187.53,187.48066000000003,187.40929847970816
187.51,2024-05-14 19:25:00,AAPL,187.49764639714627,187.53,187.47924000000003,187.40685738979965
187.535,2024-05-14 19:30:00,AAPL,187.40147063044702,187.53,187.47926000000004,187.40611139727085
187.44,2024-05-14 19:35:00,AAPL,187.39485632458783,187.53,187.47924000000003,187.40708549808022
187.54,2024-05-14 19:40:00,AAPL,187.4839639345656,187.53,187.48066000000003,187.4022806845096
187.55,2024-05-14 19:45:00,AAPL,187.52143168861497,187.53,187.48108000000005,187.4022806845096
187.48,2024-05-14 19:50:00,AAPL,187.50224277998586,187.53,187.47634000000002,187.40708549808022
187.45,2024-05-14 19:55:00,AAPL,187.41402203753765,187.53,187.47372000000004,187.40708549808022
416.66,2024-05-14 15:00:00,MSFT,416.5838408839781,416.65,416.56402000000026,416.45507285161244
416.62,2024-05-14 15:05:00,MSFT,416.52361867248885,416.65,416.5492200000003,416.4610240437854
