Datetime,Company,Low,Open,High,Close,Volume
2024-05-10 15:10:00,IBM,166.88,166.96,166.968,166.93,21914
2024-05-10 15:15:00,IBM,166.91,166.93,167.06,167.06,45299
2024-05-10 15:20:00,IBM,166.93,167.06,167.06,167.03,19347
2024-05-10 15:25:00,IBM,166.94,167.02,167.04,166.98,29232
2024-05-10 15:30:00,IBM,166.82,166.99,167.0,166.98,23845
2024-05-10 15:35:00,IBM,166.93,167.01,167.05,166.96,33416
2024-05-10 15:40:00,IBM,166.9,166.97,167.03,166.94,21703
2024-05-10 15:45:00,IBM,166.83,166.87,166.97,166.85,42437
2024-05-10 15:50:00,IBM,166.84,166.9,167.08,167.06,80213
2024-05-10 15:55:00,IBM,167.0,167.05,167.24,167.12,174229
2024-05-10 16:00:00,IBM,167.12,167.12,167.45,167.45,922555
2024-05-10 16:05:00,IBM,167.15,167.15,167.2,167.15,3302
2024-05-10 16:10:00,IBM,167.06,167.15,167.15,167.06,426308
2024-05-10 16:15:00,IBM,167.15,167.15,167.2,167.2,14
2024-05-10 16:20:00,IBM,167.15,167.15,167.2,167.2,328
2024-05-10 16:25:00,IBM,167.18,167.18,167.2,167.18,20
2024-05-10 16:40:00,IBM,167.15,167.15,167.15,167.15,10
2024-05-10 16:45:00,IBM,167.04,167.06,167.06,167.04,9
2024-05-10 16:50:00,IBM,167.02,167.15,167.2,167.15,16
2024-05-10 16:55:00,IBM,167.02,167.02,167.13,167.13,53
2024-05-10 17:00:00,IBM,167.04,167.04,167.2,167.2,28
2024-05-10 17:05:00,IBM,167.03,167.03,167.03,167.03,5
2024-05-10 17:10:00,IBM,167.03,167.14,167.2,167.2,7
2024-05-10 17:15:00,IBM,167.14,167.14,167.14,167.14,5
2024-05-10 17:20:00,IBM,167.06,167.06,167.2,167.2,3
2024-05-10 17:30:00,IBM,167.06,167.06,167.06,167.06,1
2024-05-10 17:35:00,IBM,167.195,167.195,167.195,167.195,1
2024-05-10 17:40:00,IBM,167.14,167.14,167.14,167.14,2
2024-05-10 17:45:00,IBM,167.06,167.06,167.13,167.12,15
2024-05-10 17:50:00,IBM,167.03,167.06,167.06,167.03,14
2024-05-10 18:10:00,IBM,167.15,167.15,167.15,167.15,1
2024-05-10 18:15:00,IBM,167.04,167.06,167.06,167.04,8
2024-05-10 18:20:00,IBM,167.14,167.14,167.14,167.14,1
2024-05-10 18:25:00,IBM,167.1,167.1,167.14,167.14,25
2024-05-10 18:30:00,IBM,167.13,167.15,167.15,167.14,426513
2024-05-10 18:35:00,IBM,167.05,167.05,167.05,167.05,8
2024-05-10 18:40:00,IBM,167.15,167.15,167.15,167.15,24
2024-05-10 18:45:00,IBM,167.14,167.14,167.14,167.14,5
2024-05-10 18:50:00,IBM,167.13,167.15,167.15,167.13,16
2024-05-10 19:00:00,IBM,167.15,167.15,167.15,167.15,426010
2024-05-10 19:05:00,IBM,167.03,167.13,167.13,167.1,30
2024-05-10 19:40:00,IBM,167.04,167.1,167.1,167.04,5
2024-05-10 19:45:00,IBM,167.05,167.05,167.05,167.05,10
2024-05-10 19:50:00,IBM,167.05,167.1,167.1,167.05,2
